timestamp,value,gesture
1780322278.558181,498,relax
1780322278.578378,506,relax
1780322278.599109,494,relax
1780322278.615531,537,relax
1780322278.636114,531,relax
1780322278.656537,516,relax
1780322278.677181,514,relax
1780322278.697179,548,relax
1780322278.718184,516,relax
1780322278.738183,544,relax
1780322278.758183,507,relax
1780322278.775133,498,relax
1780322278.795367,504,relax
1780322278.816139,525,relax
1780322278.836562,510,relax
1780322278.856417,542,relax
1780322278.877354,503,relax
1780322278.898184,531,relax
1780322278.918381,517,relax
1780322278.938377,536,relax
1780322278.959578,535,relax
1780322278.980162,503,relax
1780322278.995998,502,relax
1780322279.017186,495,relax
1780322279.037179,497,relax
1780322279.056996,487,relax
1780322279.077470,485,relax
1780322279.098380,465,relax
1780322279.119184,487,relax
1780322279.139603,509,relax
1780322279.156186,530,relax
1780322279.176609,528,relax
1780322279.196997,532,relax
1780322279.217184,546,relax
1780322279.238185,541,relax
1780322279.258018,522,relax
1780322279.278833,539,relax
1780322279.299626,494,relax
1780322279.320208,513,relax
1780322279.336211,526,relax
1780322279.356546,507,relax
1780322279.377190,525,relax
1780322279.397190,490,relax
1780322279.418184,480,relax
1780322279.438183,498,relax
1780322279.459227,511,relax
1780322279.479181,486,relax
1780322279.495895,505,relax
1780322279.516656,499,relax
1780322279.537180,519,relax
1780322279.557055,517,relax
1780322279.577965,514,relax
1780322279.598181,520,relax
1780322279.618768,505,relax
1780322279.638993,547,relax
1780322279.660038,540,relax
1780322279.675874,529,relax
1780322279.696680,528,relax
1780322279.717182,507,relax
1780322279.737180,522,relax
1780322279.758181,484,relax
1780322279.778180,516,relax
1780322279.799274,482,relax
1780322279.819183,492,relax
1780322279.840277,492,relax
1780322279.860002,490,relax
1780322279.881005,478,relax
1780322279.896425,502,relax
1780322279.918185,502,relax
1780322279.938164,522,relax
1780322279.958633,514,relax
1780322279.978637,536,relax
1780322279.999642,518,relax
1780322280.019648,522,relax
1780322280.040651,512,relax
1780322280.056655,519,relax
1780322280.077660,530,relax
1780322280.097664,520,relax
1780322280.118669,498,relax
1780322280.138673,521,relax
1780322280.159678,502,relax
1780322280.179682,534,relax
1780322280.200687,469,relax
1780322280.220691,487,relax
1780322280.237298,485,relax
1780322280.258304,508,relax
1780322280.278308,513,relax
1780322280.298313,504,relax
1780322280.319317,518,relax
1780322280.339321,543,relax
1780322280.360326,532,relax
1780322280.380330,540,relax
1780322280.397334,545,relax
1780322280.417339,516,relax
1780322280.438343,493,relax
1780322280.458348,467,relax
1780322280.479352,471,relax
1780322280.499357,464,relax
1780322280.520350,477,relax
1780322280.540355,527,relax
1780322280.561360,482,relax
1780322280.577363,509,relax
1780322280.596877,531,relax
1780322280.618173,532,relax
1780322280.638810,524,relax
1780322280.659025,503,relax
1780322280.679608,521,relax
1780322280.700312,467,relax
1780322280.720316,466,relax
1780322280.741320,464,relax
1780322280.761824,470,relax
1780322280.778408,479,relax
1780322280.798412,516,relax
1780322280.819416,515,relax
1780322280.839421,548,relax
1780322280.860426,525,relax
1780322280.880004,519,relax
1780322280.901425,521,relax
1780322280.921427,482,relax
1780322280.941851,494,relax
1780322280.958351,454,relax
1780322280.978857,460,relax
1780322280.999439,483,relax
1780322281.019862,499,relax
1780322281.040445,504,relax
1780322281.060868,505,relax
1780322281.081311,552,relax
1780322281.101312,542,relax
1780322281.118313,532,relax
1780322281.138350,527,relax
1780322281.159461,484,relax
1780322281.179464,490,relax
1780322281.200467,447,relax
1780322281.220449,458,relax
1780322281.240893,444,relax
1780322281.261475,458,relax
1780322281.281312,493,relax
1780322281.298311,489,relax
1780322281.318313,510,relax
1780322281.339486,500,relax
1780322281.359884,524,relax
1780322281.380316,502,relax
1780322281.400914,499,relax
1780322281.421497,496,relax
1780322281.441920,477,relax
1780322281.458350,476,relax
1780322281.478350,488,relax
1780322281.498335,487,relax
1780322281.519511,490,relax
1780322281.539934,495,relax
1780322281.560516,496,relax
1780322281.580319,499,relax
1780322281.601498,496,relax
1780322281.621945,508,relax
1780322281.642525,482,relax
1780322281.662948,478,relax
1780322281.679533,479,relax
1780322281.699734,449,relax
1780322281.720538,486,relax
1780322281.740961,472,relax
1780322281.761311,494,relax
1780322281.781325,514,relax
1780322281.802550,500,relax
1780322281.822551,521,relax
1780322281.843554,516,relax
1780322281.859557,505,relax
1780322281.879313,504,relax
1780322281.900563,495,relax
1780322281.920987,489,relax
1780322281.941569,483,relax
1780322281.961992,472,relax
1780322281.982574,469,relax
1780322282.002997,479,relax
1780322282.019579,499,relax
1780322282.040002,513,relax
1780322282.060585,505,relax
1780322282.080328,514,relax
1780322282.101493,514,relax
1780322282.121593,506,relax
1780322282.142596,499,relax
1780322282.162599,478,relax
1780322282.183022,471,relax
1780322282.199604,474,relax
1780322282.220027,494,relax
1780322282.240610,486,relax
1780322282.260621,499,relax
1780322282.281774,503,relax
1780322282.302039,508,relax
1780322282.322340,505,relax
1780322282.343044,519,relax
