rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg,gesture
527.7872866979651,527.54,19.0,679.0,16.15451639635183,16.15451639635183,12.096800000000004,19.0,679.0,16.154516396351827,527.54,528.5,477.0,563.0,86.0,520.25,538.5,604.8400000000001,relax
531.6012979668127,531.46,21.0,599.0,12.255953655264857,12.255953655264857,9.841599999999998,21.0,599.0,12.255953655264857,531.46,532.0,508.0,563.0,55.0,522.25,539.75,492.0799999999999,relax
534.7485016341794,534.6,21.0,642.0,12.601587201618692,12.601587201618692,9.791999999999998,21.0,642.0,12.601587201618692,534.6,535.0,509.0,568.0,59.0,526.0,541.0,489.5999999999999,relax
536.5149205753742,536.38,23.0,588.0,12.031442141322875,12.031442141322875,9.34,23.0,588.0,12.031442141322875,536.38,536.5,509.0,568.0,59.0,529.25,544.75,467.0,relax
535.0503153909921,534.88,16.0,603.0,13.499096266046852,13.499096266046852,10.699200000000001,16.0,603.0,13.49909626604685,534.88,536.0,504.0,568.0,64.0,526.5,544.75,534.96,relax
535.2824301245091,535.12,20.0,573.0,13.185810555290107,13.185810555290107,10.0752,20.0,573.0,13.185810555290107,535.12,536.0,504.0,568.0,64.0,529.0,544.0,503.76,relax
536.2665568539586,536.1,21.0,601.0,13.364505228402582,13.364505228402582,10.46,21.0,601.0,13.364505228402585,536.1,536.5,504.0,568.0,64.0,529.0,545.0,523.0,relax
534.3493426589014,534.18,19.0,616.0,13.451676475443499,13.451676475443499,10.725600000000004,19.0,616.0,13.451676475443497,534.18,535.0,504.0,568.0,64.0,524.5,544.75,536.2800000000002,relax
532.6841277905697,532.5,15.0,586.0,14.004642087536546,14.004642087536546,11.56,15.0,586.0,14.004642087536546,532.5,534.5,504.0,568.0,64.0,522.0,544.0,578.0,relax
532.2228319577645,532.0408163265306,18.0,596.0,13.918068103791352,13.918068103791352,11.427738442315702,18.0,596.0,13.918068103791352,532.0408163265306,533.0,504.0,568.0,64.0,522.0,544.0,559.9591836734694,relax
530.0619209111328,529.92,19.0,525.0,12.265137585856916,12.265137585856916,10.030399999999995,19.0,525.0,12.265137585856914,529.92,529.0,504.0,555.0,51.0,522.0,540.75,501.51999999999975,relax
529.785239507482,529.64,20.0,559.0,12.404450814123129,12.404450814123129,9.782399999999997,20.0,559.0,12.404450814123132,529.64,529.0,504.0,562.0,58.0,522.0,536.75,489.1199999999999,relax
531.6156318243474,531.46,25.0,670.0,12.862674682973212,12.862674682973212,10.496800000000002,25.0,670.0,12.86267468297321,531.46,529.0,506.0,562.0,56.0,523.25,541.0,524.8400000000001,relax
531.7538559007411,531.5918367346939,24.0,647.0,13.12563835935957,13.12563835935957,10.839650145772591,24.0,647.0,13.12563835935957,531.5918367346939,529.0,506.0,562.0,56.0,523.0,542.0,531.142857142857,relax
532.0693375867472,531.94,24.0,599.0,11.731001662262264,11.731001662262264,9.332800000000006,24.0,599.0,11.731001662262264,531.94,530.0,506.0,562.0,56.0,524.25,541.0,466.6400000000003,relax
533.3300666566624,533.2,24.0,606.0,11.777945491468364,11.777945491468364,9.360000000000008,24.0,606.0,11.777945491468365,533.2,530.5,506.0,562.0,56.0,526.0,542.0,468.00000000000045,relax
534.7106507261661,534.6,25.0,604.0,10.877499712709717,10.877499712709717,8.752000000000002,25.0,604.0,10.877499712709717,534.6,531.5,506.0,562.0,56.0,527.25,542.75,437.60000000000014,relax
536.0766736204813,535.96,24.0,608.0,11.183845492494967,11.183845492494967,9.156800000000002,24.0,608.0,11.183845492494967,535.96,534.5,506.0,562.0,56.0,528.0,543.0,457.84000000000015,relax
535.0108223204462,534.86,21.0,645.0,12.702771351165856,12.702771351165856,9.98,21.0,645.0,12.702771351165856,534.86,534.5,499.0,562.0,63.0,526.25,543.0,499.0,relax
532.0256196838645,531.86,21.0,643.0,13.274049871836402,13.274049871836402,10.5344,21.0,643.0,13.2740498718364,531.86,531.0,499.0,559.0,60.0,525.25,542.0,526.72,relax
531.274787657009,531.1,19.0,615.0,13.626811806141596,13.626811806141596,10.704,19.0,615.0,13.626811806141598,531.1,531.0,499.0,559.0,60.0,526.0,542.0,535.2,relax
528.1633919796515,527.9411764705883,19.0,695.0,15.319360766761498,15.319360766761498,12.258362168396767,19.0,695.0,15.3193607667615,527.9411764705883,530.0,484.0,559.0,75.0,517.0,538.5,625.1764705882351,relax
525.1991051020556,524.94,13.0,755.0,16.495344797851303,16.495344797851303,13.422399999999998,13.0,755.0,16.495344797851303,524.94,526.0,484.0,559.0,75.0,515.0,537.75,671.1199999999999,relax
