rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg
518.2678265144384,518.02,16.0,712.0,16.025592032745624,16.025592032745624,12.94,16.0,712.0,16.025592032745624,518.02,518.5,490.0,556.0,66.0,505.25,531.0,647.0
506.741413346097,506.02,15.0,804.0,27.02997595263451,27.02997595263451,19.3376,15.0,804.0,27.02997595263451,506.02,508.0,428.0,571.0,143.0,497.0,520.75,966.88
506.06521318897234,505.5102040816327,25.0,1174.0,23.69458945299761,23.69458945299761,18.927946688879636,25.0,1174.0,23.69458945299761,505.5102040816327,507.0,455.0,577.0,122.0,485.0,520.0,927.469387755102
489.79865250937553,487.52,17.0,1746.0,47.19077876026205,47.19077876026205,32.6992,17.0,1746.0,47.19077876026205,487.52,489.0,379.0,656.0,277.0,467.0,504.75,1634.96
504.7081731060039,504.54,25.0,804.0,13.027985262503178,13.027985262503178,11.063200000000002,25.0,804.0,13.027985262503178,504.54,502.5,479.0,534.0,55.0,494.25,516.75,553.1600000000001
522.5210809144451,522.32,10.0,520.0,14.494743874936182,14.494743874936182,11.96,10.0,520.0,14.494743874936184,522.32,522.5,492.0,555.0,63.0,512.25,533.0,598.0
496.8414636481138,496.6,13.0,611.0,15.488059917239472,15.488059917239472,12.304,13.0,611.0,15.488059917239474,496.6,494.5,472.0,534.0,62.0,485.5,503.75,615.2
505.8613446390226,505.74,28.0,658.0,11.079368213034533,11.079368213034533,8.679200000000002,28.0,658.0,11.079368213034533,505.74,505.0,486.0,538.0,52.0,497.25,511.0,433.96
527.740163337982,527.2,15.0,961.0,23.871321706181245,23.871321706181245,19.296000000000003,15.0,961.0,23.871321706181245,527.2,525.5,473.0,579.0,106.0,511.5,543.75,964.8000000000002
512.4615692908103,512.34,24.0,582.0,11.161738215887343,11.161738215887343,8.873600000000001,24.0,582.0,11.161738215887343,512.34,511.0,485.0,544.0,59.0,505.0,518.75,443.68000000000006
545.4066189550691,542.78,9.0,1421.0,53.46261871625819,53.46261871625819,42.9224,9.0,1421.0,53.46261871625819,542.78,533.0,418.0,707.0,289.0,501.75,572.5,2146.12
489.0604666091914,488.74,29.0,1015.0,17.70176262410046,17.70176262410046,13.9904,29.0,1015.0,17.70176262410046,488.74,489.5,451.0,537.0,86.0,479.25,501.25,699.52
519.1807392421256,519.08,23.0,563.0,10.22710125108772,10.22710125108772,8.243200000000002,23.0,563.0,10.22710125108772,519.08,518.5,490.0,536.0,46.0,512.25,525.0,412.1600000000001
506.2249842647808,503.8979591836735,5.0,1312.0,48.482795138136346,48.482795138136346,40.88796334860474,5.0,1312.0,48.482795138136346,503.8979591836735,511.0,396.0,591.0,195.0,469.0,541.0,2003.5102040816323
506.3674357618192,505.98,17.0,907.0,19.804534834224203,19.804534834224203,16.499200000000002,17.0,907.0,19.804534834224206,505.98,502.0,465.0,552.0,87.0,492.25,519.75,824.96
521.3192057518256,520.8979591836735,23.0,1221.0,20.953052379029028,20.953052379029028,17.332778009162848,23.0,1221.0,20.953052379029028,520.8979591836735,525.0,469.0,567.0,98.0,505.0,535.0,849.3061224489795
464.9228323066098,464.88,19.0,260.0,6.310752728478592,6.310752728478592,4.7296000000000005,19.0,260.0,6.310752728478592,464.88,465.0,452.0,483.0,31.0,460.25,468.0,236.48
502.81933137062265,502.6,26.0,856.0,14.849915824677256,14.849915824677256,11.968000000000002,26.0,856.0,14.849915824677256,502.6,502.0,480.0,547.0,67.0,491.0,512.0,598.4000000000001
515.3192990758254,514.78,28.0,1280.0,23.569717859999933,23.569717859999933,18.82,28.0,1280.0,23.569717859999933,514.78,514.5,450.0,558.0,108.0,498.25,531.0,941.0
513.4903699194367,512.96,27.0,1459.0,23.33234664580484,23.33234664580484,19.1216,27.0,1459.0,23.332346645804837,512.96,514.0,469.0,565.0,96.0,496.25,527.0,956.08
493.1905514098988,493.08,28.0,625.0,10.44191553308108,10.44191553308108,8.473600000000001,28.0,625.0,10.441915533081085,493.08,495.0,473.0,522.0,49.0,485.25,499.75,423.68000000000006
530.3702668890857,528.62,15.0,1490.0,43.05247495789296,43.05247495789296,36.2296,15.0,1490.0,43.05247495789296,528.62,526.0,440.0,624.0,184.0,496.25,561.25,1811.48
